Trail,Time,N,dx,beta_0,beta_V,beta_K,beta_D,beta_Y,g,V,gState,iState,E0,Ei,Ef,Evolver,Cooling,pTime,wTime
0,2019/11/18 08:10:37,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.035689922,IVP,Cooled,1,1.387969255
0,2019/11/18 08:10:40,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.037973849,IVP,Cooled,2,2.822905779
0,2019/11/18 08:10:44,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038362084,IVP,Cooled,3,4.051994562
0,2019/11/18 08:10:50,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038430444,IVP,Cooled,4,5.675790071
0,2019/11/18 08:10:57,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038448805,IVP,Cooled,5,6.869904518
0,2019/11/18 08:11:05,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038464858,IVP,Cooled,6,8.556652784
0,2019/11/18 08:11:14,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038492822,IVP,Cooled,7,9.137222528
0,2019/11/18 08:11:24,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038544788,IVP,Cooled,8,10.17545223
0,2019/11/18 08:11:36,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038631935,IVP,Cooled,9,11.28463006
0,2019/11/18 08:11:49,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038753652,IVP,Cooled,10,12.78651476
0,2019/11/18 08:12:02,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038912848,IVP,Cooled,11,13.89769101
0,2019/11/18 08:12:18,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039130628,IVP,Cooled,12,15.23969626
0,2019/11/18 08:12:34,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039302563,IVP,Cooled,13,16.42381811
0,2019/11/18 08:12:52,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039548774,IVP,Cooled,14,17.41907811
0,2019/11/18 08:13:10,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039740793,IVP,Cooled,15,18.90697503
0,2019/11/18 08:13:31,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040008996,IVP,Cooled,16,20.08010507
0,2019/11/18 08:13:52,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040118823,IVP,Cooled,17,21.65294027
0,2019/11/18 08:14:16,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040416746,IVP,Cooled,18,23.29871893
0,2019/11/18 08:14:39,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040604278,IVP,Cooled,19,23.93224859
0,2019/11/18 08:15:05,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040636305,IVP,Cooled,20,25.47110653
0,2019/11/18 08:15:32,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040759846,IVP,Cooled,21,27.3736949
0,2019/11/18 08:15:59,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040936446,IVP,Cooled,22,26.73017383
0,2019/11/18 08:16:27,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.041014101,IVP,Cooled,23,27.63250327
0,2019/11/18 08:16:56,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.041031173,IVP,Cooled,24,29.06144404
0,2019/11/18 08:17:26,128,0.2,1,10,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.041070461,IVP,Cooled,25,30.58031678
0,2019/11/18 08:17:28,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.036221726,IVP,Cooled,1,1.281049252
0,2019/11/18 08:17:30,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039003848,IVP,Cooled,2,2.401219845
0,2019/11/18 08:17:34,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.03964505,IVP,Cooled,3,3.545370102
0,2019/11/18 08:17:38,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039796446,IVP,Cooled,4,4.627566814
0,2019/11/18 08:17:44,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.03983404,IVP,Cooled,5,6.079453707
0,2019/11/18 08:17:52,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039848772,IVP,Cooled,6,7.333559513
0,2019/11/18 08:18:00,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039853173,IVP,Cooled,7,8.517682552
0,2019/11/18 08:18:10,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039874054,IVP,Cooled,8,9.625858545
0,2019/11/18 08:18:21,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039898943,IVP,Cooled,9,10.8489542
0,2019/11/18 08:18:33,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039932589,IVP,Cooled,10,11.91116381
0,2019/11/18 08:18:46,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039982679,IVP,Cooled,11,13.40105915
0,2019/11/18 08:19:01,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040047272,IVP,Cooled,12,14.57319045
0,2019/11/18 08:19:16,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040122593,IVP,Cooled,13,15.72033954
0,2019/11/18 08:19:33,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040198291,IVP,Cooled,14,16.86548972
0,2019/11/18 08:19:52,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.04027907,IVP,Cooled,15,19.24172711
0,2019/11/18 08:20:13,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040372677,IVP,Cooled,16,20.30993605
0,2019/11/18 08:20:35,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.04046366,IVP,Cooled,17,21.99368572
0,2019/11/18 08:20:58,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040597463,IVP,Cooled,18,22.8830266
0,2019/11/18 08:21:22,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.04070149,IVP,Cooled,19,24.34094381
0,2019/11/18 08:21:48,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040746144,IVP,Cooled,20,25.82184696
0,2019/11/18 08:22:15,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040793257,IVP,Cooled,21,27.57054901
0,2019/11/18 08:22:43,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040870291,IVP,Cooled,22,28.088166
0,2019/11/18 08:23:13,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.04093452,IVP,Cooled,23,29.23831248
0,2019/11/18 08:23:43,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040973104,IVP,Cooled,24,29.92180634
0,2019/11/18 08:24:14,128,0.2,1,20,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.041009441,IVP,Cooled,25,31.50862861
0,2019/11/18 08:24:15,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.035764602,IVP,Cooled,1,1.190117359
0,2019/11/18 08:24:18,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.038758048,IVP,Cooled,2,2.520131588
0,2019/11/18 08:24:23,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.039691498,IVP,Cooled,3,4.663540125
0,2019/11/18 08:24:28,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040005058,IVP,Cooled,4,5.014280319
0,2019/11/18 08:24:34,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.04011381,IVP,Cooled,5,6.184413433
0,2019/11/18 08:24:42,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.04016072,IVP,Cooled,6,8.046026945
0,2019/11/18 08:24:51,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.04017762,IVP,Cooled,7,8.650584698
0,2019/11/18 08:25:02,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040191473,IVP,Cooled,8,11.2366643
0,2019/11/18 08:25:16,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040205384,IVP,Cooled,9,14.36034775
0,2019/11/18 08:25:32,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040216891,IVP,Cooled,10,15.85024357
0,2019/11/18 08:25:47,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040238442,IVP,Cooled,11,14.91393781
0,2019/11/18 08:26:07,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040267044,IVP,Cooled,12,19.87825537
0,2019/11/18 08:26:25,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040309814,IVP,Cooled,13,18.65716147
0,2019/11/18 08:26:44,128,0.2,1,30,0,0,0,-1,V0,Gaussian,GM,-0.04167025,-0.028912881,-0.040346218,IVP,Cooled,14,18.35738277
